Player,Nation,Team,General Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches
Ben Hatton,0,Rotherham Utd,Midfielder,0.0,0,3,0,5,0,0.0,0,0,0,0,0,0,5,5,3,3,2,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,2,0,7,1,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Bobby Thomas,ENG,Coventry City,Defender,0.0,0,44,42,3759,2,2.5,27,5,0,0,30,1,2004,2495,621,717,1154,1292,209,425,0,1.6,9,160,15,2,162,29,15,63,41,44,17,2,40,63,23,80,54,190,3,2968,396,1606,1223,157,52,2968,15,9,1656,23,0,39,6,1903,9,0,0,39,40,2,0,1,2,223,102,71,45,206,0,17,41,2,1
Connor O'Riordan,IRL,Blackburn,Defender,0.0,0,2,0,42,0,0.0,0,0,0,0,0,0,15,16,6,6,7,7,2,2,0,0.1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,18,2,13,3,2,0,18,1,1,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,1,0,0,1
Dayro Pena,0,Tigre,Forward,0.0,0,2,0,44,0,0.0,0,0,0,0,3,0,11,14,5,6,4,5,2,3,0,0.0,2,1,0,0,1,3,5,0,0,0,0,0,0,2,2,0,0,1,0,23,0,3,8,13,4,23,6,3,15,1,2,0,0,14,0,0,0,2,1,0,0,0,0,1,1,0,0,9,0,2,0,0,1
Ezechiel Fiemawhle,0,Volendam,Forward,0.0,0,2,0,37,0,0.0,0,0,0,0,0,0,2,7,1,1,1,3,0,1,0,0.1,0,0,1,1,0,0,2,1,0,1,0,0,1,1,0,1,0,1,0,12,0,4,3,5,1,12,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2,0,0,1
Facundo Altamira,0,Godoy Cruz,Forward,0.0,0,21,19,1499,3,3.3,29,11,0,0,29,3,206,349,135,188,47,84,12,27,1,0.9,15,16,13,7,20,43,153,27,16,7,15,5,9,18,9,14,7,15,0,589,14,66,228,315,53,589,77,34,350,26,18,65,34,418,3,0,0,22,13,0,0,0,0,65,28,26,99,216,0,38,16,3,1
Gerard Buabo,0,Ipswich Town,Forward,0.0,0,1,0,4,0,0.0,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
James Wilson,0,Middlesbrough,Defender,0.0,0,1,0,1,0,0.0,0,0,0,0,0,0,6,6,3,3,3,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,1,0,0,7,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Jeremias Merlo,0,Gimnasia–LP,Forward,0.0,0,4,1,52,0,0.1,1,0,0,0,1,0,4,7,3,4,1,2,0,1,0,0.0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,1,0,0,19,0,2,10,8,4,19,6,3,10,1,2,3,3,11,0,0,0,1,0,0,0,0,0,2,0,0,6,5,0,2,0,0,1
Joseph James,0,Bristol City,Defender,0.0,0,2,1,77,0,0.0,0,0,0,0,0,0,21,39,9,13,12,20,0,2,0,0.0,0,0,0,0,2,0,1,2,0,0,2,0,2,3,1,2,1,1,0,51,2,21,22,8,0,51,0,0,19,2,0,1,0,19,0,0,0,0,0,0,0,0,0,6,2,4,1,3,0,0,0,0,1
Leandro Olima,0,Atlé Tucumán,Midfielder,0.0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ronaldo Dejesús,PAR,py Cerro Porteño,Defender,0.0,0,2,1,106,0,0.0,2,0,0,0,3,1,27,39,10,12,11,16,5,9,0,0.0,0,2,1,0,2,1,1,2,1,2,0,0,1,1,0,3,0,1,0,51,3,20,22,9,5,51,0,0,25,1,0,1,1,28,2,0,0,2,1,0,0,1,0,3,6,1,2,4,0,1,1,0,1
Santiago Morales,0,Sarmiento,Defender,0.0,0,1,0,49,0,0.0,0,0,0,0,0,0,9,16,3,4,4,5,2,6,0,0.0,0,2,0,0,3,0,0,1,1,0,1,0,1,1,0,0,1,3,0,22,4,10,11,1,0,22,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,4,0,3,0,0,1,0,1
Sjors Hermsen,0,Fortuna Sittard,Forward,0.0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tyger Smalls,0,Charlotte,Forward,0.0,0,15,1,225,0,0.7,4,0,0,0,11,0,43,58,26,32,11,15,4,7,0,0.2,5,3,4,0,9,11,25,9,7,3,3,3,2,9,7,7,2,3,0,109,2,16,43,53,11,109,12,6,57,6,4,11,2,60,3,0,0,9,4,0,0,0,0,11,2,4,13,45,0,8,7,0,1
Victor Enriquez,0,Portland Timbers,Midfielder,0.0,0,1,0,6,0,0.0,0,0,0,0,2,0,8,8,1,1,6,6,1,1,0,0.1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,7,3,0,10,1,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Younes Taha El Idrissi,MAR,Twente,Forward,0.0,0,20,2,468,3,1.9,17,5,0,0,30,1,180,284,87,116,68,95,22,43,1,2.1,19,17,22,14,20,32,82,12,8,3,7,2,8,18,10,6,1,3,0,360,3,28,116,222,23,360,22,9,226,15,7,17,3,253,2,0,0,3,4,0,0,0,0,31,7,5,20,134,0,43,8,3,1
