Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Ben Hatton,0,Midfielder,Rotherham Utd,0.0,0,3,0,5,66,56,63,66
Bobby Thomas,ENG,Defender,Coventry City,0.0,0,44,42,3759,88,76,71,71
Connor O'Riordan,IRL,Defender,Blackburn,0.0,0,2,0,42,55,83,76,57
Dayro Pena,0,Forward,Tigre,0.0,0,2,0,44,48,50,86,48
Ezechiel Fiemawhle,0,Forward,Volendam,0.0,0,2,0,37,49,63,25,52
Facundo Altamira,0,Forward,Godoy Cruz,0.0,0,21,19,1499,77,66,53,72
Gerard Buabo,0,Forward,Ipswich Town,0.0,0,1,0,4,44,33,46,36
James Wilson,0,Defender,Middlesbrough,0.0,0,1,0,1,51,40,35,32
Jeremias Merlo,0,Forward,Gimnasia–LP,0.0,0,4,1,52,47,33,63,48
Joseph James,0,Defender,Bristol City,0.0,0,2,1,77,51,43,58,41
Leandro Olima,0,Midfielder,Atlé Tucumán,0.0,0,1,0,1,66,55,63,66
Ronaldo Dejesús,PAR,Defender,py Cerro Porteño,0.0,0,2,1,106,54,53,60,64
Santiago Morales,0,Defender,Sarmiento,0.0,0,1,0,49,51,53,49,84
Sjors Hermsen,0,Forward,Fortuna Sittard,0.0,0,1,0,1,44,32,21,36
Tyger Smalls,0,Forward,Charlotte,0.0,0,15,1,225,46,72,73,83
Victor Enriquez,0,Midfielder,Portland Timbers,0.0,0,1,0,6,66,88,73,67
Younes Taha El Idrissi,MAR,Forward,Twente,0.0,0,20,2,468,90,98,81,73
